"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Edats_quinquennals","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Menys d'1 any",2
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Menys d'1 any",0
2020,1,"Ciutat Vella",3,"la Barceloneta","Menys d'1 any",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Menys d'1 any",0
2020,2,"Eixample",5,"el Fort Pienc","Menys d'1 any",1
2020,2,"Eixample",6,"la Sagrada Família","Menys d'1 any",1
2020,2,"Eixample",7,"la Dreta de l'Eixample","Menys d'1 any",1
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Menys d'1 any",0
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Menys d'1 any",1
2020,2,"Eixample",10,"Sant Antoni","Menys d'1 any",0
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Menys d'1 any",0
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Menys d'1 any",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Menys d'1 any",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Menys d'1 any",0
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Menys d'1 any",0
2020,3,"Sants-Montjuïc",16,"la Bordeta","Menys d'1 any",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Menys d'1 any",0
2020,3,"Sants-Montjuïc",18,"Sants","Menys d'1 any",0
2020,4,"Les Corts",19,"les Corts","Menys d'1 any",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Menys d'1 any",0
2020,4,"Les Corts",21,"Pedralbes","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Menys d'1 any",0
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Menys d'1 any",0
2020,6,"Gràcia",29,"el Coll","Menys d'1 any",0
2020,6,"Gràcia",30,"la Salut","Menys d'1 any",0
2020,6,"Gràcia",31,"la Vila de Gràcia","Menys d'1 any",0
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Menys d'1 any",1
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Menys d'1 any",0
2020,7,"Horta-Guinardó",34,"Can Baró","Menys d'1 any",0
2020,7,"Horta-Guinardó",35,"el Guinardó","Menys d'1 any",1
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Menys d'1 any",0
2020,7,"Horta-Guinardó",37,"el Carmel","Menys d'1 any",0
2020,7,"Horta-Guinardó",38,"la Teixonera","Menys d'1 any",0
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Menys d'1 any",0
2020,7,"Horta-Guinardó",40,"Montbau","Menys d'1 any",0
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Menys d'1 any",0
2020,7,"Horta-Guinardó",42,"la Clota","Menys d'1 any",0
2020,7,"Horta-Guinardó",43,"Horta","Menys d'1 any",0
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Menys d'1 any",0
2020,8,"Nou Barris",45,"Porta","Menys d'1 any",0
2020,8,"Nou Barris",46,"el Turó de la Peira","Menys d'1 any",0
2020,8,"Nou Barris",47,"Can Peguera","Menys d'1 any",0
2020,8,"Nou Barris",48,"la Guineueta","Menys d'1 any",0
2020,8,"Nou Barris",49,"Canyelles","Menys d'1 any",0
2020,8,"Nou Barris",50,"les Roquetes","Menys d'1 any",0
2020,8,"Nou Barris",51,"Verdun","Menys d'1 any",0
2020,8,"Nou Barris",52,"la Prosperitat","Menys d'1 any",0
2020,8,"Nou Barris",53,"la Trinitat Nova","Menys d'1 any",1
2020,8,"Nou Barris",54,"Torre Baró","Menys d'1 any",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","Menys d'1 any",0
2020,8,"Nou Barris",56,"Vallbona","Menys d'1 any",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","Menys d'1 any",0
2020,9,"Sant Andreu",58,"Baró de Viver","Menys d'1 any",0
2020,9,"Sant Andreu",59,"el Bon Pastor","Menys d'1 any",0
2020,9,"Sant Andreu",60,"Sant Andreu","Menys d'1 any",2
2020,9,"Sant Andreu",61,"la Sagrera","Menys d'1 any",0
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Menys d'1 any",0
2020,9,"Sant Andreu",63,"Navas","Menys d'1 any",1
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Menys d'1 any",1
2020,10,"Sant Martí",65,"el Clot","Menys d'1 any",1
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",68,"el Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Menys d'1 any",0
2020,10,"Sant Martí",71,"Provençals del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Menys d'1 any",1
2020,10,"Sant Martí",73,"la Verneda i la Pau","Menys d'1 any",0
2020,1,"Ciutat Vella",1,"el Raval","1-4 anys",1
2020,1,"Ciutat Vella",2,"el Barri Gòtic","1-4 anys",0
2020,1,"Ciutat Vella",3,"la Barceloneta","1-4 anys",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1-4 anys",0
2020,2,"Eixample",5,"el Fort Pienc","1-4 anys",0
2020,2,"Eixample",6,"la Sagrada Família","1-4 anys",0
2020,2,"Eixample",7,"la Dreta de l'Eixample","1-4 anys",0
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1-4 anys",0
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1-4 anys",0
2020,2,"Eixample",10,"Sant Antoni","1-4 anys",0
2020,3,"Sants-Montjuïc",11,"el Poble Sec","1-4 anys",1
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1-4 anys",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","1-4 anys",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1-4 anys",1
2020,3,"Sants-Montjuïc",15,"Hostafrancs","1-4 anys",0
2020,3,"Sants-Montjuïc",16,"la Bordeta","1-4 anys",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","1-4 anys",0
2020,3,"Sants-Montjuïc",18,"Sants","1-4 anys",0
2020,4,"Les Corts",19,"les Corts","1-4 anys",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","1-4 anys",0
2020,4,"Les Corts",21,"Pedralbes","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1-4 anys",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1-4 anys",0
2020,6,"Gràcia",28,"Vallcarca i els Penitents","1-4 anys",0
2020,6,"Gràcia",29,"el Coll","1-4 anys",0
2020,6,"Gràcia",30,"la Salut","1-4 anys",0
2020,6,"Gràcia",31,"la Vila de Gràcia","1-4 anys",0
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1-4 anys",0
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","1-4 anys",0
2020,7,"Horta-Guinardó",34,"Can Baró","1-4 anys",0
2020,7,"Horta-Guinardó",35,"el Guinardó","1-4 anys",0
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","1-4 anys",0
2020,7,"Horta-Guinardó",37,"el Carmel","1-4 anys",0
2020,7,"Horta-Guinardó",38,"la Teixonera","1-4 anys",0
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1-4 anys",0
2020,7,"Horta-Guinardó",40,"Montbau","1-4 anys",0
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","1-4 anys",0
2020,7,"Horta-Guinardó",42,"la Clota","1-4 anys",0
2020,7,"Horta-Guinardó",43,"Horta","1-4 anys",0
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1-4 anys",0
2020,8,"Nou Barris",45,"Porta","1-4 anys",0
2020,8,"Nou Barris",46,"el Turó de la Peira","1-4 anys",0
2020,8,"Nou Barris",47,"Can Peguera","1-4 anys",0
2020,8,"Nou Barris",48,"la Guineueta","1-4 anys",0
2020,8,"Nou Barris",49,"Canyelles","1-4 anys",0
2020,8,"Nou Barris",50,"les Roquetes","1-4 anys",0
2020,8,"Nou Barris",51,"Verdun","1-4 anys",0
2020,8,"Nou Barris",52,"la Prosperitat","1-4 anys",0
2020,8,"Nou Barris",53,"la Trinitat Nova","1-4 anys",0
2020,8,"Nou Barris",54,"Torre Baró","1-4 anys",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","1-4 anys",0
2020,8,"Nou Barris",56,"Vallbona","1-4 anys",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","1-4 anys",0
2020,9,"Sant Andreu",58,"Baró de Viver","1-4 anys",0
2020,9,"Sant Andreu",59,"el Bon Pastor","1-4 anys",1
2020,9,"Sant Andreu",60,"Sant Andreu","1-4 anys",0
2020,9,"Sant Andreu",61,"la Sagrera","1-4 anys",0
2020,9,"Sant Andreu",62,"el Congrés i els Indians","1-4 anys",0
2020,9,"Sant Andreu",63,"Navas","1-4 anys",0
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","1-4 anys",0
2020,10,"Sant Martí",65,"el Clot","1-4 anys",0
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","1-4 anys",0
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","1-4 anys",0
2020,10,"Sant Martí",68,"el Poblenou","1-4 anys",0
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","1-4 anys",0
2020,10,"Sant Martí",70,"el Besòs i el Maresme","1-4 anys",0
2020,10,"Sant Martí",71,"Provençals del Poblenou","1-4 anys",0
2020,10,"Sant Martí",72,"Sant Martí de Provençals","1-4 anys",0
2020,10,"Sant Martí",73,"la Verneda i la Pau","1-4 anys",0
2020,1,"Ciutat Vella",1,"el Raval","5-9 anys",1
2020,1,"Ciutat Vella",2,"el Barri Gòtic","5-9 anys",0
2020,1,"Ciutat Vella",3,"la Barceloneta","5-9 anys",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","5-9 anys",0
2020,2,"Eixample",5,"el Fort Pienc","5-9 anys",1
2020,2,"Eixample",6,"la Sagrada Família","5-9 anys",0
2020,2,"Eixample",7,"la Dreta de l'Eixample","5-9 anys",0
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","5-9 anys",0
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","5-9 anys",0
2020,2,"Eixample",10,"Sant Antoni","5-9 anys",0
2020,3,"Sants-Montjuïc",11,"el Poble Sec","5-9 anys",0
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","5-9 anys",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","5-9 anys",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","5-9 anys",0
2020,3,"Sants-Montjuïc",15,"Hostafrancs","5-9 anys",0
2020,3,"Sants-Montjuïc",16,"la Bordeta","5-9 anys",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","5-9 anys",0
2020,3,"Sants-Montjuïc",18,"Sants","5-9 anys",0
2020,4,"Les Corts",19,"les Corts","5-9 anys",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","5-9 anys",0
2020,4,"Les Corts",21,"Pedralbes","5-9 anys",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","5-9 anys",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","5-9 anys",0
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","5-9 anys",1
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","5-9 anys",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","5-9 anys",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","5-9 anys",0
2020,6,"Gràcia",28,"Vallcarca i els Penitents","5-9 anys",0
2020,6,"Gràcia",29,"el Coll","5-9 anys",0
2020,6,"Gràcia",30,"la Salut","5-9 anys",0
2020,6,"Gràcia",31,"la Vila de Gràcia","5-9 anys",0
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","5-9 anys",1
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","5-9 anys",0
2020,7,"Horta-Guinardó",34,"Can Baró","5-9 anys",0
2020,7,"Horta-Guinardó",35,"el Guinardó","5-9 anys",0
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","5-9 anys",0
2020,7,"Horta-Guinardó",37,"el Carmel","5-9 anys",0
2020,7,"Horta-Guinardó",38,"la Teixonera","5-9 anys",0
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","5-9 anys",0
2020,7,"Horta-Guinardó",40,"Montbau","5-9 anys",0
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","5-9 anys",1
2020,7,"Horta-Guinardó",42,"la Clota","5-9 anys",0
2020,7,"Horta-Guinardó",43,"Horta","5-9 anys",0
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","5-9 anys",0
2020,8,"Nou Barris",45,"Porta","5-9 anys",0
2020,8,"Nou Barris",46,"el Turó de la Peira","5-9 anys",0
2020,8,"Nou Barris",47,"Can Peguera","5-9 anys",0
2020,8,"Nou Barris",48,"la Guineueta","5-9 anys",0
2020,8,"Nou Barris",49,"Canyelles","5-9 anys",0
2020,8,"Nou Barris",50,"les Roquetes","5-9 anys",0
2020,8,"Nou Barris",51,"Verdun","5-9 anys",0
2020,8,"Nou Barris",52,"la Prosperitat","5-9 anys",0
2020,8,"Nou Barris",53,"la Trinitat Nova","5-9 anys",0
2020,8,"Nou Barris",54,"Torre Baró","5-9 anys",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","5-9 anys",0
2020,8,"Nou Barris",56,"Vallbona","5-9 anys",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","5-9 anys",0
2020,9,"Sant Andreu",58,"Baró de Viver","5-9 anys",0
2020,9,"Sant Andreu",59,"el Bon Pastor","5-9 anys",0
2020,9,"Sant Andreu",60,"Sant Andreu","5-9 anys",0
2020,9,"Sant Andreu",61,"la Sagrera","5-9 anys",0
2020,9,"Sant Andreu",62,"el Congrés i els Indians","5-9 anys",0
2020,9,"Sant Andreu",63,"Navas","5-9 anys",0
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","5-9 anys",0
2020,10,"Sant Martí",65,"el Clot","5-9 anys",1
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","5-9 anys",0
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","5-9 anys",0
2020,10,"Sant Martí",68,"el Poblenou","5-9 anys",0
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","5-9 anys",0
2020,10,"Sant Martí",70,"el Besòs i el Maresme","5-9 anys",0
2020,10,"Sant Martí",71,"Provençals del Poblenou","5-9 anys",1
2020,10,"Sant Martí",72,"Sant Martí de Provençals","5-9 anys",0
2020,10,"Sant Martí",73,"la Verneda i la Pau","5-9 anys",0
2020,1,"Ciutat Vella",1,"el Raval","10-14 anys",0
2020,1,"Ciutat Vella",2,"el Barri Gòtic","10-14 anys",0
2020,1,"Ciutat Vella",3,"la Barceloneta","10-14 anys",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","10-14 anys",0
2020,2,"Eixample",5,"el Fort Pienc","10-14 anys",0
2020,2,"Eixample",6,"la Sagrada Família","10-14 anys",0
2020,2,"Eixample",7,"la Dreta de l'Eixample","10-14 anys",0
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","10-14 anys",1
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","10-14 anys",0
2020,2,"Eixample",10,"Sant Antoni","10-14 anys",0
2020,3,"Sants-Montjuïc",11,"el Poble Sec","10-14 anys",0
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","10-14 anys",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","10-14 anys",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","10-14 anys",0
2020,3,"Sants-Montjuïc",15,"Hostafrancs","10-14 anys",0
2020,3,"Sants-Montjuïc",16,"la Bordeta","10-14 anys",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","10-14 anys",0
2020,3,"Sants-Montjuïc",18,"Sants","10-14 anys",0
2020,4,"Les Corts",19,"les Corts","10-14 anys",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","10-14 anys",0
2020,4,"Les Corts",21,"Pedralbes","10-14 anys",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","10-14 anys",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","10-14 anys",1
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","10-14 anys",0
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","10-14 anys",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","10-14 anys",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","10-14 anys",0
2020,6,"Gràcia",28,"Vallcarca i els Penitents","10-14 anys",0
2020,6,"Gràcia",29,"el Coll","10-14 anys",0
2020,6,"Gràcia",30,"la Salut","10-14 anys",0
2020,6,"Gràcia",31,"la Vila de Gràcia","10-14 anys",0
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","10-14 anys",0
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","10-14 anys",0
2020,7,"Horta-Guinardó",34,"Can Baró","10-14 anys",0
2020,7,"Horta-Guinardó",35,"el Guinardó","10-14 anys",0
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","10-14 anys",0
2020,7,"Horta-Guinardó",37,"el Carmel","10-14 anys",0
2020,7,"Horta-Guinardó",38,"la Teixonera","10-14 anys",0
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","10-14 anys",0
2020,7,"Horta-Guinardó",40,"Montbau","10-14 anys",0
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","10-14 anys",0
2020,7,"Horta-Guinardó",42,"la Clota","10-14 anys",0
2020,7,"Horta-Guinardó",43,"Horta","10-14 anys",0
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","10-14 anys",0
2020,8,"Nou Barris",45,"Porta","10-14 anys",0
2020,8,"Nou Barris",46,"el Turó de la Peira","10-14 anys",0
2020,8,"Nou Barris",47,"Can Peguera","10-14 anys",0
2020,8,"Nou Barris",48,"la Guineueta","10-14 anys",0
2020,8,"Nou Barris",49,"Canyelles","10-14 anys",0
2020,8,"Nou Barris",50,"les Roquetes","10-14 anys",0
2020,8,"Nou Barris",51,"Verdun","10-14 anys",0
2020,8,"Nou Barris",52,"la Prosperitat","10-14 anys",0
2020,8,"Nou Barris",53,"la Trinitat Nova","10-14 anys",0
2020,8,"Nou Barris",54,"Torre Baró","10-14 anys",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","10-14 anys",0
2020,8,"Nou Barris",56,"Vallbona","10-14 anys",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","10-14 anys",0
2020,9,"Sant Andreu",58,"Baró de Viver","10-14 anys",0
2020,9,"Sant Andreu",59,"el Bon Pastor","10-14 anys",0
2020,9,"Sant Andreu",60,"Sant Andreu","10-14 anys",0
2020,9,"Sant Andreu",61,"la Sagrera","10-14 anys",0
2020,9,"Sant Andreu",62,"el Congrés i els Indians","10-14 anys",0
2020,9,"Sant Andreu",63,"Navas","10-14 anys",0
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","10-14 anys",0
2020,10,"Sant Martí",65,"el Clot","10-14 anys",0
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","10-14 anys",0
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","10-14 anys",0
2020,10,"Sant Martí",68,"el Poblenou","10-14 anys",0
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","10-14 anys",0
2020,10,"Sant Martí",70,"el Besòs i el Maresme","10-14 anys",0
2020,10,"Sant Martí",71,"Provençals del Poblenou","10-14 anys",0
2020,10,"Sant Martí",72,"Sant Martí de Provençals","10-14 anys",0
2020,10,"Sant Martí",73,"la Verneda i la Pau","10-14 anys",0
2020,1,"Ciutat Vella",1,"el Raval","15-19 anys",2
2020,1,"Ciutat Vella",2,"el Barri Gòtic","15-19 anys",0
2020,1,"Ciutat Vella",3,"la Barceloneta","15-19 anys",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","15-19 anys",1
2020,2,"Eixample",5,"el Fort Pienc","15-19 anys",0
2020,2,"Eixample",6,"la Sagrada Família","15-19 anys",0
2020,2,"Eixample",7,"la Dreta de l'Eixample","15-19 anys",0
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","15-19 anys",0
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","15-19 anys",0
2020,2,"Eixample",10,"Sant Antoni","15-19 anys",1
2020,3,"Sants-Montjuïc",11,"el Poble Sec","15-19 anys",0
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","15-19 anys",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","15-19 anys",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","15-19 anys",0
2020,3,"Sants-Montjuïc",15,"Hostafrancs","15-19 anys",1
2020,3,"Sants-Montjuïc",16,"la Bordeta","15-19 anys",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","15-19 anys",0
2020,3,"Sants-Montjuïc",18,"Sants","15-19 anys",0
2020,4,"Les Corts",19,"les Corts","15-19 anys",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","15-19 anys",0
2020,4,"Les Corts",21,"Pedralbes","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","15-19 anys",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","15-19 anys",1
2020,6,"Gràcia",28,"Vallcarca i els Penitents","15-19 anys",0
2020,6,"Gràcia",29,"el Coll","15-19 anys",0
2020,6,"Gràcia",30,"la Salut","15-19 anys",0
